timestamp,open,high,low,close,volume,spread
2024-01-02 00:00:00,1.265,1.26508,1.26469,1.26486,613.0,0.00031
2024-01-02 00:15:00,1.26486,1.26634,1.2645,1.26585,675.0,0.00025
2024-01-02 00:30:00,1.26585,1.26588,1.26558,1.26572,689.0,0.00026
2024-01-02 00:45:00,1.26572,1.26617,1.26572,1.26602,600.0,0.00027
2024-01-02 01:00:00,1.26602,1.26643,1.26595,1.26625,983.0,0.00028
2024-01-02 01:15:00,1.26625,1.26748,1.26582,1.26728,789.0,0.00026
2024-01-02 01:30:00,1.26728,1.26754,1.26701,1.26705,770.0,0.00028
2024-01-02 01:45:00,1.26705,1.26729,1.26692,1.26701,1261.0,0.00028
2024-01-02 02:00:00,1.26701,1.26706,1.267,1.26703,776.0,0.00026
2024-01-02 02:15:00,1.26703,1.26713,1.26675,1.26681,602.0,0.00028
2024-01-02 02:30:00,1.26681,1.26684,1.26606,1.26624,789.0,0.00027
2024-01-02 02:45:00,1.26624,1.26653,1.26529,1.26539,606.0,0.00026
2024-01-02 03:00:00,1.26539,1.26578,1.2636,1.26403,705.0,0.0003
2024-01-02 03:15:00,1.26403,1.26439,1.26401,1.26431,681.0,0.00029
2024-01-02 03:30:00,1.26431,1.26436,1.26427,1.26429,736.0,0.00026
2024-01-02 03:45:00,1.26429,1.26443,1.26397,1.264,1072.0,0.00027
2024-01-02 04:00:00,1.264,1.26412,1.26342,1.26356,1157.0,0.00031
2024-01-02 04:15:00,1.26356,1.26405,1.26335,1.26379,650.0,0.00029
2024-01-02 04:30:00,1.26379,1.2639,1.26323,1.2635,652.0,0.00027
2024-01-02 04:45:00,1.2635,1.26373,1.26337,1.26365,667.0,0.00031
2024-01-02 05:00:00,1.26365,1.26401,1.26362,1.26394,731.0,0.00027
2024-01-02 05:15:00,1.26394,1.2648,1.26383,1.26467,646.0,0.00026
2024-01-02 05:30:00,1.26467,1.26472,1.26436,1.26444,644.0,0.00027
2024-01-02 05:45:00,1.26444,1.26474,1.2628,1.26333,1206.0,0.00028
2024-01-02 06:00:00,1.26333,1.26384,1.26222,1.26268,984.0,0.00025
2024-01-02 06:15:00,1.26268,1.263,1.26261,1.26295,650.0,0.00025
2024-01-02 06:30:00,1.26295,1.26318,1.26222,1.26225,925.0,0.00027
2024-01-02 06:45:00,1.26225,1.26249,1.26145,1.26178,802.0,0.00038
2024-01-02 07:00:00,1.26178,1.26221,1.26161,1.26208,1444.0,0.00012
2024-01-02 07:15:00,1.26208,1.26251,1.26202,1.26251,2501.0,0.00013
2024-01-02 07:30:00,1.26251,1.2631,1.25993,1.26099,2233.0,0.00012
2024-01-02 07:45:00,1.26099,1.26138,1.25988,1.26022,2307.0,0.00015
2024-01-02 08:00:00,1.26022,1.26313,1.25989,1.26239,1686.0,0.00013
2024-01-02 08:15:00,1.26239,1.2625,1.26113,1.26131,1449.0,0.00023
2024-01-02 08:30:00,1.26131,1.26286,1.26129,1.26251,1397.0,0.00012
2024-01-02 08:45:00,1.26251,1.26276,1.26152,1.26196,1402.0,0.00013
2024-01-02 09:00:00,1.26196,1.26197,1.26166,1.26177,1396.0,0.00019
